"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This test will Create a new Product","SUCCESS","2023-01-02T16:11:14.828Z[Europe/London]","0.0","8.29"
"Stores CRUD test","This test will create a new Store","SUCCESS","2023-01-02T16:11:14.840Z[Europe/London]","0.0","8.32"
"Products CRUD test","This test will verify product was added","SUCCESS","2023-01-02T16:11:23.148Z[Europe/London]","0.0","0.13"
"Stores CRUD test","This test will verify Store is added","SUCCESS","2023-01-02T16:11:23.196Z[Europe/London]","0.0","0.13"
"Products CRUD test","This test will Update the product information","SUCCESS","2023-01-02T16:11:23.281Z[Europe/London]","0.0","0.15"
"Stores CRUD test","This test will Update the stores information","SUCCESS","2023-01-02T16:11:23.325Z[Europe/London]","0.0","0.13"
"Products CRUD test","This test will Delete product details","SUCCESS","2023-01-02T16:11:23.434Z[Europe/London]","0.0","0.05"
"Stores CRUD test","This test will Delete the stores by ID","SUCCESS","2023-01-02T16:11:23.458Z[Europe/London]","0.0","0.08"
